,Hour,Min,Sec,BRA,Draw,ARG
208,1,8,36,1.25,5.2,15.5
209,1,8,48,1.25,5.2,15.5
210,1,8,59,1.25,5.2,15.5
211,1,9,10,1.25,5.2,15.5
212,1,9,20,1.25,5.2,15.5
213,1,9,31,1.25,5.2,16.0
214,1,9,42,1.25,5.2,16.0
215,1,9,52,1.25,5.2,16.0
216,1,10,3,1.25,5.2,16.0
217,1,10,14,1.25,5.2,16.0
218,1,10,25,1.25,5.2,16.0
219,1,10,36,1.25,5.2,16.0
220,1,10,47,1.25,5.2,16.0
221,1,10,58,1.25,5.2,16.0
222,1,11,10,1.25,5.2,16.0
223,1,11,20,1.24,5.4,17.0
224,1,11,32,1.24,5.4,17.0
225,1,11,42,1.24,5.4,17.0
226,1,11,53,1.24,5.4,17.5
227,1,12,4,1.24,5.4,17.5
228,1,12,15,1.24,5.4,17.5
229,1,12,26,1.24,5.4,17.5
230,1,12,37,1.24,5.4,17.5
231,1,12,48,1.24,5.4,17.5
232,1,12,59,1.24,5.4,17.0
233,1,13,10,1.25,5.2,16.0
234,1,13,21,1.25,5.2,16.0
235,1,13,32,1.25,5.2,16.5
236,1,13,43,1.25,5.2,16.5
237,1,13,53,1.25,5.2,16.5
238,1,14,5,1.25,5.2,16.5
239,1,14,16,1.25,5.2,16.5
240,1,14,27,1.25,5.2,16.5
241,1,14,38,1.25,5.2,16.5
242,1,14,49,1.25,5.2,16.5
243,1,14,59,1.25,5.2,16.5
244,1,15,10,1.24,5.2,17.0
245,1,15,22,1.24,5.2,17.0
246,1,15,33,1.24,5.2,17.0
247,1,15,44,1.24,5.2,17.0
248,1,15,55,1.24,5.2,17.0
249,1,16,6,1.24,5.2,17.0
250,1,16,18,1.24,5.2,17.0
251,1,16,29,1.24,5.2,17.0
252,1,16,40,1.24,5.2,17.0
253,1,16,51,1.24,5.2,17.0
254,1,17,2,1.24,5.2,17.0
255,1,17,13,1.24,5.2,17.5
256,1,17,24,1.24,5.2,17.5
257,1,17,34,1.24,5.2,17.5
258,1,17,45,1.24,5.2,17.5
259,1,17,56,1.24,5.2,17.5
260,1,18,7,1.24,5.2,17.5
261,1,18,18,1.24,5.2,17.5
262,1,18,29,1.24,5.2,17.5
263,1,18,40,1.24,5.2,17.5
